course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction,departure_time,is_theorical
268436758,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,10:33:42,1
268436748,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,11:13:42,1
268436760,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,11:52:42,1
268436750,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,12:33:42,1
268436762,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,13:12:42,1
268436777,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,13:53:42,1
268436766,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,14:33:42,1
268436779,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,15:13:42,1
268436768,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,15:53:42,1
268436781,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,16:33:42,1
268436770,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,17:13:42,1
268436637,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,17:54:42,1
268436772,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,18:34:42,1
268436639,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,19:13:42,1
268436774,PHARMACR,10224,FAC DE PHARMACIE,10,AIGUELONGUE,1,20:18:33,1
268436742,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,07:09:44,1
268436754,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,07:44:44,1
268436744,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,08:25:44,1
268436756,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,09:05:44,1
268436746,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,09:45:44,1
268436758,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,10:26:44,1
268436748,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,11:06:44,1
268436760,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,11:45:44,1
268436750,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,12:26:44,1
268436762,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,13:05:44,1
268436777,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,13:46:44,1
268436766,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,14:26:44,1
268436779,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,15:06:44,1
268436768,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,15:46:44,1
268436781,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,16:26:44,1
268436770,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,17:06:44,1
268436637,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,17:47:44,1
268436772,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,18:27:44,1
268436639,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,19:06:44,1
268436774,GLYCINEE,9118,GLYCINES,10,AIGUELONGUE,1,20:10:49,1
268436742,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,07:18:27,1
268436754,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,07:53:27,1
268436744,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,08:34:27,1
268436756,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,09:14:27,1
268436746,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,09:54:27,1
268436758,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,10:35:27,1
268436748,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,11:15:27,1
268436760,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,11:54:27,1
268436750,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,12:35:27,1
268436762,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,13:14:27,1
268436777,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,13:55:27,1
268436766,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,14:35:27,1
268436779,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,15:15:27,1
268436768,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,15:55:27,1
268436781,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,16:35:27,1
268436770,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,17:15:27,1
268436637,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,17:56:27,1
268436772,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,18:36:27,1
268436639,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,19:15:27,1
268436774,HDUNANTR,10210,HENRI DUNANT,10,AIGUELONGUE,1,20:20:27,1
268436742,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,07:14:34,1
268436754,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,07:49:34,1
268436744,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,08:30:34,1
268436756,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,09:10:34,1
268436746,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,09:50:34,1
268436758,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,10:31:34,1
268436748,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,11:11:34,1
268436760,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,11:50:34,1
268436750,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,12:31:34,1
268436762,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,13:10:34,1
268436777,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,13:51:34,1
268436766,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,14:31:34,1
268436779,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,15:11:34,1
268436768,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,15:51:34,1
268436781,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,16:31:34,1
268436770,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,17:11:34,1
268436637,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,17:52:34,1
268436772,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,18:32:34,1
268436639,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,19:11:34,1
268436774,CLRECHS,5238,HIPPOLYTE RECH,10,AIGUELONGUE,1,20:16:11,1
268436742,LAPILES,3119,LA PILE,10,AIGUELONGUE,1,07:13:25,1
