stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
47,02126,Route de Ganges,43.6429532782356,3.84534892210135,0,S3664
58,02206,Route de Ganges,43.6428478543968,3.84517282910918,0,S3664
S3665,,Sabines,43.583789674407,3.86030846256513,1,
429,10152,Sabines,43.583789674407,3.86030846256513,0,S3665
461,10243,Sabines,43.5839494027178,3.85981806656449,0,S3665
1207,42111,Sabines,43.5839372825969,3.86004033803157,0,S3665
1260,42259,Sabines,43.5839111950111,3.85997781084598,0,S3665
S3666,,Saint Clément,43.6177413470572,3.8443983787052,1,
344,09110,Saint Clément,43.6177413470572,3.8443983787052,0,S3666
388,09218,Saint Clément,43.6177219955986,3.8444968569179,0,S3666
S3667,,Saint-Cléophas,43.5949296023676,3.87541093598868,1,
436,10160,Saint-Cléophas,43.5949296023676,3.87541093598868,0,S3667
437,10161,Saint-Cléophas,43.5965751167359,3.87538103721892,0,S3667
535,12230,Saint-Cléophas,43.5947084826503,3.87578841207307,0,S3667
1212,42121,Saint-Cléophas,43.5949905836087,3.87617944402288,0,S3667
1255,42249,Saint-Cléophas,43.5950092597076,3.87613047200401,0,S3667
S3668,,Saint-Denis,43.6050373963146,3.87453269224891,1,
6,00107,Saint-Denis,43.6050373963146,3.87453269224891,0,S3668
43,01235,Saint-Denis,43.6060111920569,3.87306199397269,0,S3668
1277,43123,Saint-Denis,43.6056690419268,3.87373320298287,0,S3668
1305,43235,Saint-Denis,43.6059623971558,3.87333284741337,0,S3668
S3669,,Saint-Éloi,43.6262789963953,3.86572404364717,1,
413,10120,Saint-Éloi,43.6262789963953,3.86572404364717,0,S3669
419,10136,Saint-Éloi,43.6262791711768,3.86571167277697,0,S3669
452,10223,Saint-Éloi,43.626387494846,3.86695213067227,0,S3669
459,10237,Saint-Éloi,43.6263786834231,3.86693951898018,0,S3669
538,13001,Saint-Éloi,43.6270105263017,3.86675843891466,0,S3669
1153,41121,Saint-Éloi,43.6269896171141,3.86569356800668,0,S3669
1190,41235,Saint-Éloi,43.6270072402572,3.86571879128006,0,S3669
S3670,,Saint Gabriel,43.6145904409991,3.85244424401871,1,
347,09113,Saint Gabriel,43.6145904409991,3.85244424401871,0,S3670
385,09215,Saint Gabriel,43.6145279047273,3.85177444453973,0,S3670
S3671,,Saint-Guilhem,43.6088095883643,3.87287745165915,1,
53,02140,Saint-Guilhem,43.6088095883643,3.87287745165915,0,S3671
59,02221,Saint-Guilhem,43.6087014026398,3.87289928579799,0,S3671
S3672,,Saint-Jaumes,43.6138232284326,3.87052534620828,1,
101,03213,Saint-Jaumes,43.6138232284326,3.87052534620828,0,S3672
S3673,,Saint-Jean,43.6154653182185,3.89776587646284,1,
355,09124,Saint-Jean,43.6154653182185,3.89776587646284,0,S3673
374,09204,Saint-Jean,43.615619689584,3.89765873563585,0,S3673
S3674,,Saint-Lazare,43.6273229872688,3.8890061481502,1,
428,10151,Saint-Lazare,43.6273229872688,3.8890061481502,0,S3674
463,10245,Saint-Lazare,43.6271517152071,3.88903861982039,0,S3674
1224,42149,Saint-Lazare,43.6266187470306,3.88859098242226,0,S3674
1243,42221,Saint-Lazare,43.6266460607155,3.88856697329696,0,S3674
S3675,,Saint-Martin,43.5922730822352,3.88015063500089,1,
1280,43133,Saint-Martin,43.5922730822352,3.88015063500089,0,S3675
1302,43225,Saint-Martin,43.5922630375671,3.88022457302336,0,S3675
S3676,,Saint-Maur,43.621014179754,3.89387108777002,1,
545,14106,Saint-Maur,43.621014179754,3.89387108777002,0,S3676
548,14111,Saint-Maur,43.6210379342734,3.89409447648366,0,S3676
S3677,,Saint-Michel,43.6061314907569,3.89856236821735,1,
370,09148,Saint-Michel,43.6061314907569,3.89856236821735,0,S3677
378,09208,Saint-Michel,43.6061314907569,3.89856236821735,0,S3677
S3678,,Saint-Paul,43.6305750189159,3.82124685919926,1,
594,19102,Saint-Paul,43.6305750189159,3.82124685919926,0,S3678
1145,41105,Saint-Paul,43.6306581031337,3.8210881264583,0,S3678
1198,41251,Saint-Paul,43.6306854019139,3.82106408334805,0,S3678
S3679,,Saint-Priest,43.6351553782076,3.84368235202323,1,
246,07101,Saint-Priest,43.6351553782076,3.84368235202323,0,S3679
303,07228,Saint-Priest,43.6344646270561,3.84357748056025,0,S3679
S3680,,Saint-Roch,43.6152010586818,3.86972097175336,1,
73,03118,Saint-Roch,43.6152010586818,3.86972097175336,0,S3680
100,03212,Saint-Roch,43.6152299449984,3.86958564222392,0,S3680
S3681,,Sainte-Catherine,43.626435807529,3.87622275116782,1,
405,10108,Sainte-Catherine,43.626435807529,3.87622275116782,0,S3681
446,10212,Sainte-Catherine,43.626270005736,3.87650291966564,0,S3681
S3682,,Sainte-Geneviève,43.6232363179595,3.84423407619641,1,
82,03131,Sainte-Geneviève,43.6232363179595,3.84423407619641,0,S3682
91,03202,Sainte-Geneviève,43.6230080395239,3.84448792059845,0,S3682
S3683,,Sainte-Odile,43.6226043725318,3.87318664271746,1,
203,05233,Sainte-Odile,43.6226043725318,3.87318664271746,0,S3683
490,11128,Sainte-Odile,43.6227685847907,3.87301781336488,0,S3683
S3684,,Sainte-Thérèse,43.6142855976438,3.8651678990776,1,
255,07114,Sainte-Thérèse,43.6142855976438,3.8651678990776,0,S3684
294,07217,Sainte-Thérèse,43.6141006302092,3.86553413665737,0,S3684
S3685,,Salaison,43.6233822986463,3.89735116328188,1,
321,08120,Salaison,43.6233822986463,3.89735116328188,0,S3685
330,08204,Salaison,43.6237950778361,3.89864945536279,0,S3685
S3686,,Samuel Morse,43.6063885552467,3.91306863594444,1,
363,09140,Samuel Morse,43.6063885552467,3.91306863594444,0,S3686
397,09239,Samuel Morse,43.6070303286057,3.91344512045481,0,S3686
S3687,,Saporta,43.5843102832752,3.88818403545391,1,
64,03105,Saporta,43.5843102832752,3.88818403545391,0,S3687
109,03223,Saporta,43.5835645015117,3.88753310337717,0,S3687
S3688,,Sémard,43.6191462999868,3.90307599089078,1,
358,09129,Sémard,43.6191462999868,3.90307599089078,0,S3688
359,09132,Sémard,43.6191662745309,3.90355912959453,0,S3688
425,10148,Sémard,43.6195115421514,3.90392745382065,0,S3688
465,10247,Sémard,43.6197137459128,3.90424235874107,0,S3688
S3689,,Soleiado,43.600668274279,3.88651299038078,1,
313,08106,Soleiado,43.600668274279,3.88651299038078,0,S3689
340,08219,Soleiado,43.6003285232027,3.8870109434519,0,S3689
S3690,,Sophie Germain,43.6050300445204,3.83534144174039,1,
274,07161,Sophie Germain,43.6050300445204,3.83534144174039,0,S3690
309,07263,Sophie Germain,43.6050729200871,3.8354910168735,0,S3690
S3691,,Stade de la Mosson,43.6212518122144,3.81737884035853,1,
1172,41163,Stade de la Mosson,43.6212518122144,3.81737884035853,0,S3691
1201,41263,Stade de la Mosson,43.6212967443061,3.81738000526255,0,S3691
S3692,,Stade Philippidès,43.618989362045,3.8694638115266,1,
1155,41125,Stade Philippidès,43.618989362045,3.8694638115266,0,S3692
1188,41231,Stade Philippidès,43.6189888364122,3.86950091936459,0,S3692
S3693,,TaM,43.5814097441408,3.87032316510245,1,
515,12130,TaM,43.5814097441408,3.87032316510245,0,S3693
533,12227,TaM,43.581404263872,3.87007570114867,0,S3693
S3694,,Tonnelles,43.6140541100597,3.8380404003282,1,
8,01112,Tonnelles,43.6140541100597,3.8380404003282,0,S3694
41,01226,Tonnelles,43.6138982532619,3.83825901379296,0,S3694
417,10129,Tonnelles,43.6131261758221,3.83883260297799,0,S3694
456,10231,Tonnelles,43.6133287397371,3.83913487394875,0,S3694
1272,43113,Tonnelles,43.6134870583418,3.8393864922483,0,S3694
1310,43245,Tonnelles,43.6136209942391,3.83945187947761,0,S3694
S3695,,Tournezy,43.5790815952633,3.87790247905316,1,
60,03101,Tournezy,43.5790815952633,3.87790247905316,0,S3695
S3696,,Tourterelles,43.6258097771277,3.87852008963558,1,
404,10107,Tourterelles,43.6258097771277,3.87852008963558,0,S3696
447,10213,Tourterelles,43.6257100464236,3.87857927433182,0,S3696
S3697,,Universités Sciences et Lettres,43.6291538619885,3.86139510694249,1,
219,06115,Universités Sciences et Lettres,43.6291538619885,3.86139510694249,0,S3697
234,06207,Universités Sciences et Lettres,43.6293747630475,3.86102971892555,0,S3697
1152,41119,Universités Sciences et Lettres,43.6291244626956,3.8615675881189,0,S3697
1191,41237,Universités Sciences et Lettres,43.6291602338901,3.8615809194992,0,S3697
S3698,,Uppsala,43.6294976517874,3.82180052803165,1,
595,19201,Uppsala,43.6294976517874,3.82180052803165,0,S3698
S3699,,Val d'Aurelle,43.6427249884188,3.83589768237642,1,
49,02128,Val d'Aurelle,43.6427249884188,3.83589768237642,0,S3699
56,02204,Val d'Aurelle,43.6428168126498,3.83640763454239,0,S3699
S3700,,Vauguières,43.6042098342509,3.90648904845312,1,
421,10144,Vauguières,43.6042098342509,3.90648904845312,0,S3700
469,10251,Vauguières,43.6044380891004,3.90686644908399,0,S3700
S3701,,Véga,43.5957074797539,3.84958084817903,1,
213,06103,Véga,43.5957074797539,3.84958084817903,0,S3701
240,06219,Véga,43.5956701515617,3.84967881073631,0,S3701
S3702,,Vert Bois,43.6353031499059,3.8683793182576,1,
177,05125,Vert Bois,43.6353031499059,3.8683793182576,0,S3702
195,05206,Vert Bois,43.6342201722793,3.86804083520621,0,S3702
S3703,,Vieille Poste,43.6105865871079,3.90006987785678,1,
480,11105,Vieille Poste,43.6105865871079,3.90006987785678,0,S3703
500,11218,Vieille Poste,43.6108074880023,3.90033574225849,0,S3703
S3704,,Villeneuve d'Angoulême,43.5887380443422,3.86574602237706,1,
1208,42113,Villeneuve d'Angoulême,43.5887380443422,3.86574602237706,0,S3704
1259,42257,Villeneuve d'Angoulême,43.5887387434499,3.86569657141145,0,S3704
S3705,,Vincent Auriol,43.6479666716656,3.86415078559688,1,
737,22266,Vincent Auriol,43.6479666716656,3.86415078559688,0,S3705
761,23124,Vincent Auriol,43.6506931562062,3.8646075483001,0,S3705
S3706,,Vivaldi,43.5969106763148,3.85609414159655,1,
563,17133,Vivaldi,43.5969106763148,3.85609414159655,0,S3706
571,17233,Vivaldi,43.5970181629534,3.85612173838912,0,S3706
S3707,,Voie Domitienne,43.6222653030138,3.85965199275044,1,
409,10112,Voie Domitienne,43.6222653030138,3.85965199275044,0,S3707
443,10207,Voie Domitienne,43.6226758194155,3.86050442315675,0,S3707
S3708,,Volta Fizeau,43.6138734599318,3.91331233086448,1,
361,09138,Volta Fizeau,43.6138734599318,3.91331233086448,0,S3708
395,09236,Volta Fizeau,43.613794386686,3.91318641827075,0,S3708
S3709,,Voltaire,43.6035533065908,3.88906539744448,1,
1216,42131,Voltaire,43.6035533065908,3.88906539744448,0,S3709
1251,42239,Voltaire,43.6035799101074,3.88909086176948,0,S3709
S3710,,Winston Churchill,43.5992598884724,3.85588448474994,1,
562,17132,Winston Churchill,43.5992598884724,3.85588448474994,0,S3710
570,17232,Winston Churchill,43.5993670280425,3.85593681242631,0,S3710
S3711,,Yves du Manoir,43.5914331835709,3.84860192209245,1,
434,10157,Yves du Manoir,43.5914331835709,3.84860192209245,0,S3711
474,10257,Yves du Manoir,43.5914371580579,3.84831756441027,0,S3711
S3712,,Zénith,43.6120774911651,3.93096801781037,1,
510,12117,Zénith,43.6120774911651,3.93096801781037,0,S3712
521,12204,Zénith,43.6122286146762,3.93108359031285,0,S3712
S3713,,Zoo,43.6399642433204,3.87314631500562,1,
189,05162,Zoo,43.6399642433204,3.87314631500562,0,S3713
209,05283,Zoo,43.6398838923997,3.87310701709227,0,S3713
S3714,,Bonadona,43.5556988234753,3.96566170060797,1,
896,28116,Bonadona,43.5556988234753,3.96566170060797,0,S3714
901,28203,Bonadona,43.5547325649882,3.96654883789795,0,S3714
S3715,,Cabanes de Pérols,43.5525489910486,3.96827877876301,1,
897,28117,Cabanes de Pérols,43.5525489910486,3.96827877876301,0,S3715
900,28202,Cabanes de Pérols,43.5511188213444,3.968930105126,0,S3715
S3716,,Croix du Languedoc,43.566616823893,3.9485534862777,1,
891,28111,Croix du Languedoc,43.566616823893,3.9485534862777,0,S3716
906,28208,Croix du Languedoc,43.5668014708263,3.94883067751801,0,S3716
S3717,,EcoPôle,43.5781554165651,3.93489368914411,1,
1287,43151,EcoPôle,43.5781554165651,3.93489368914411,0,S3717
1295,43207,EcoPôle,43.5781633062941,3.93496810185242,0,S3717
S3718,,Lauriers,43.5687009529306,3.94563269277718,1,
890,28110,Lauriers,43.5687009529306,3.94563269277718,0,S3718
